  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 27.1601, 'grad_norm': 39554992.0, 'learning_rate': 0.00011298949379178605, 'epoch': 0.0}
{'loss': 27.3117, 'grad_norm': 24385234.0, 'learning_rate': 0.00011432664756446992, 'epoch': 0.0}
{'loss': 26.9461, 'grad_norm': 15043488.0, 'learning_rate': 0.00011566380133715377, 'epoch': 0.0}
{'loss': 26.9045, 'grad_norm': 4083736.0, 'learning_rate': 0.00011700095510983764, 'epoch': 0.0}
{'loss': 26.6982, 'grad_norm': 4032579.75, 'learning_rate': 0.00011833810888252148, 'epoch': 0.0}
{'loss': 26.7121, 'grad_norm': 7457582.0, 'learning_rate': 0.00011967526265520536, 'epoch': 0.0}
{'loss': 27.0735, 'grad_norm': 6010378.5, 'learning_rate': 0.0001210124164278892, 'epoch': 0.0}
{'loss': 26.978, 'grad_norm': 9442898.0, 'learning_rate': 0.00012234957020057307, 'epoch': 0.0}
{'loss': 26.7295, 'grad_norm': 4150253.75, 'learning_rate': 0.00012368672397325694, 'epoch': 0.0}
{'loss': 27.0359, 'grad_norm': 103508928.0, 'learning_rate': 0.0001250238777459408, 'epoch': 0.0}
{'loss': 27.7147, 'grad_norm': 8110905.0, 'learning_rate': 0.00012636103151862464, 'epoch': 0.0}
{'loss': 27.7543, 'grad_norm': 231613456.0, 'learning_rate': 0.00012769818529130848, 'epoch': 0.0}
{'loss': 26.7411, 'grad_norm': 5053051.0, 'learning_rate': 0.00012903533906399235, 'epoch': 0.0}
{'loss': 26.9637, 'grad_norm': 3924938.75, 'learning_rate': 0.00013037249283667622, 'epoch': 0.0}
{'loss': 27.6897, 'grad_norm': 17594392.0, 'learning_rate': 0.00013170964660936009, 'epoch': 0.0}
{'loss': 26.8429, 'grad_norm': 41181760.0, 'learning_rate': 0.00013304680038204393, 'epoch': 0.0}
{'loss': 27.3955, 'grad_norm': 2171235.25, 'learning_rate': 0.0001343839541547278, 'epoch': 0.0}
