  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 19.8243, 'grad_norm': 11116502.0, 'learning_rate': 9.461631533873819e-06, 'epoch': 0.17}
{'loss': 21.0687, 'grad_norm': 5023587.0, 'learning_rate': 9.461421961741215e-06, 'epoch': 0.17}
{'loss': 20.2589, 'grad_norm': 54897976.0, 'learning_rate': 9.461212351148104e-06, 'epoch': 0.17}
{'loss': 19.2261, 'grad_norm': 14364339.0, 'learning_rate': 9.461002702096291e-06, 'epoch': 0.17}
{'loss': 20.8719, 'grad_norm': 9013789.0, 'learning_rate': 9.460793014587586e-06, 'epoch': 0.17}
{'loss': 20.1339, 'grad_norm': 12860741.0, 'learning_rate': 9.460583288623794e-06, 'epoch': 0.17}
{'loss': 20.3286, 'grad_norm': 3127536.5, 'learning_rate': 9.460373524206725e-06, 'epoch': 0.17}
{'loss': 20.3505, 'grad_norm': 3967569.5, 'learning_rate': 9.460163721338188e-06, 'epoch': 0.17}
{'loss': 20.419, 'grad_norm': 7694196.0, 'learning_rate': 9.459953880019987e-06, 'epoch': 0.17}
{'loss': 19.2681, 'grad_norm': 7170669.0, 'learning_rate': 9.459744000253936e-06, 'epoch': 0.17}
{'loss': 21.2037, 'grad_norm': 4253301.5, 'learning_rate': 9.459534082041844e-06, 'epoch': 0.17}
{'loss': 18.8013, 'grad_norm': 2390794.25, 'learning_rate': 9.459324125385516e-06, 'epoch': 0.17}
{'loss': 19.9505, 'grad_norm': 4098972.75, 'learning_rate': 9.459114130286766e-06, 'epoch': 0.17}
{'loss': 19.4549, 'grad_norm': 3043294.5, 'learning_rate': 9.458904096747405e-06, 'epoch': 0.18}
{'loss': 20.2009, 'grad_norm': 7011707.0, 'learning_rate': 9.458694024769239e-06, 'epoch': 0.18}
